year,row,respondent_id,collector_id,start_date,end_date,ip_address,email_address,first_name,last_name,custom_data_1,how_often_use_R,how_often_use_Excel,how_often_use_GoogleSheets,how_often_use_SAS,how_often_use_Python,how_often_use_Tableau,how_often_use_MATLAB,how_often_use_PowerBI,how_often_use_SQL,how_proficient_R,how_proficient_Excel,how_proficient_GoogleSheets,how_proficient_SAS,how_proficient_Python,how_proficient_Tableau,how_proficient_MATLAB,how_proficient_PowerBI,how_proficient_SQL,suited_ratemaking_R,suited_reserving_R,suited_capital_modeling_R,suited_ratemaking_Excel,suited_reserving_Excel,suited_capital_modeling_Excel,suited_ratemaking_GoogleSheets,suited_reserving_GoogleSheets,suited_capital_modeling_GoogleSheets,suited_ratemaking_SAS,suited_reserving_SAS,suited_capital_modeling_SAS,suited_ratemaking_Python,suited_reserving_Python,suited_capital_modeling_Python,suited_ratemaking_Tableau,suited_reserving_Tableau,suited_capital_modeling_Tableau,suited_ratemaking_MATLAB,suited_reserving_MATLAB,suited_capital_modeling_MATLAB,suited_ratemaking_PowerBI,suited_reserving_PowerBI,suited_capital_modeling_PowerBI,suited_ratemaking_SQL,suited_reserving_SQL,suited_capital_modeling_SQL,what_other_tools_should_be_added,increase_proficiency_R,increase_proficiency_Excel,increase_proficiency_GoogleSheets,increase_proficiency_SAS,increase_proficiency_Python,increase_proficiency_Tableau,increase_proficiency_MATLAB,increase_proficiency_PowerBI,increase_proficiency_SQL,increase_proficiency_other,barrier_learning_inadequate_staff,barrier_learning_lack_of_management_support,barrier_learning_lack_of_it_support,barrier_learning_financial_cost,barrier_learning_not_enough_time,barrier_learning_no_perceived_benefit,barrier_learning_other,barrier_implementation_inadequate_staff,barrier_implementation_lack_of_management_support,barrier_implementation_lack_of_it_support,barrier_implementation_financial_cost,barrier_implementation_not_enough_time,barrier_implementation_no_perceived_benefit,barrier_implementation_other,technique_use_linear_models,technique_use_credibility,technique_use_premium_adjustment,technique_use_excess_loss_analysis,technique_use_bayesian,technique_use_bornhuetter_ferguson,technique_use_time_series,technique_use_aideep_learning,technique_use_chain_ladder,technique_use_tree_based_methods,technique_use_unsupervised_learning,technique_use_other,additional_comments,designation,age,where_are_you_located,located_other,what_type_of_company_do_you_work_for,type_of_company_other,actuaries_at_my_organization,years_of_experience,how_often_use_Other,how_proficient_Other,suited_Other,barrier_technique_inadequate_staff,barrier_technique_lack_of_management_support,barrier_technique_lack_of_it_support,barrier_technique_financial_cost,barrier_technique_not_enough_time,barrier_technique_no_perceived_benefit,barrier_technique_other,new_tech_to_adopt,should_have_asked,how_often_use_Other_specific,how_proficient_Other_specific,suited_ratemaking_Other,suited_reserving_Other,suited_capital_modeling_Other,suited_Other_specific,learning_plan_self_study,learning_plan_online,learning_plan_in_person,learning_plan_other,technique_use_frequency_severity,technique_use_triangle_based,technique_use_simulation,barrier_technique_lack_of_knowledge,designation_none,designation_acas,designation_fcas,designation_cspa,ok_with_being_contacted
2021,364,12791435537,405148313,7/2/2021 19:01,7/2/2021 19:07,NA,NA,NA,NA,NA,About once a week,At least once a day,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a month,About once a week,Advanced,Expert,Not at all,Advanced,Not at all,Not at all,Not at all,Basic stuff,Advanced,Somewhat,Not at all,Somewhat,Somewhat,Very much so,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,,,,,,Unsure,Unsure,Unsure,,,,Not at all,Not at all,Not at all,,R,,,,Python,,,,,,,,,,Not enough time,,,,Lack of management support,,,,,,"Linear regression, including GLMs",,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 5 and 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,365,12791328257,405148313,7/2/2021 17:47,7/2/2021 17:54,NA,NA,NA,NA,NA,Not at all,At least once a day,Less than once a month,At least once a day,Less than once a month,About once a week,Not at all,Not at all,At least once a day,Basic stuff,Advanced,Basic stuff,Advanced,Intermediate,Intermediate,Not at all,Not at all,Advanced,,,,Very much so,Very much so,Unsure,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Spark,,,,,Python,,,,,,,,,,Not enough time,,,,,,,Not enough time,,Too many things using old technology. Will need time to transition ,"Linear regression, including GLMs",,,,,,"Time series analysis, including claim trend analysis",,,,,Adhoc analytics ,,FCAS,51-60 years old,United States,,Insurance company,,200+,Between 15 and 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,366,12791214334,405148313,7/2/2021 16:36,7/2/2021 16:40,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,About once a month,About once a month,About once a week,Not at all,Not at all,At least once a day,Basic stuff,Expert,Basic stuff,Intermediate,Basic stuff,Intermediate,Not at all,Not at all,Advanced,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Somewhat,I would add Qlikview but consider that data visualization so answered as such.,,,,,Python,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,200+,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,367,12791208349,405148313,7/2/2021 16:31,7/2/2021 16:36,NA,NA,NA,NA,NA,Not at all,At least once a day,Less than once a month,Not at all,Not at all,Less than once a month,Not at all,Not at all,Not at all,Not at all,Advanced,Basic stuff,Basic stuff,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,,,,,,,,,,,,,,Not enough time,,,,,,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,Simulations,,FCAS,51-60 years old,United States,,Consulting Firm,,5-Jan,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,368,12791143182,405148313,7/2/2021 15:51,7/2/2021 15:57,NA,NA,NA,NA,NA,About once a week,At least once a day,Less than once a month,Not at all,Less than once a month,Not at all,Not at all,Not at all,Less than once a month,Advanced,Advanced,Basic stuff,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Not at all,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Somewhat,Somewhat,Not at all,"SPSS  Excel add-ins, such as @Risk",R,Excel,,,Python,,,,,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,,,,FCAS,61 or older,United States,,Consulting Firm,,5-Jan,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,369,12791104070,405148313,7/2/2021 15:31,7/2/2021 15:35,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a week,Not at all,Less than once a month,At least once a day,Not at all,Expert,Basic stuff,Intermediate,Not at all,Advanced,Not at all,Advanced,Expert,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,,R,,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,370,12791049756,405148313,7/2/2021 10:10,7/2/2021 15:02,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Less than once a month,Less than once a month,Not at all,About once a month,Not at all,Not at all,Expert,Intermediate,Basic stuff,Basic stuff,Basic stuff,Not at all,Basic stuff,Basic stuff,Very much so,Very much so,Very much so,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Not at all,"Alteryx, KNIME, Power Query and Power Pivot (Excel implementation rather than Power BI implementation), other actuarial specific tools (ResQ, Emblem, Psicle Dynamo, Tyche, etc), VBA (legacy), Office Scripts, Power Automate, ",,,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,"United Kingdom, Ireland",,Consulting Firm,,5-Jan,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,371,12791008862,405148313,7/2/2021 14:36,7/2/2021 14:39,NA,NA,NA,NA,NA,Not at all,At least once a day,About once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Expert,Advanced,Not at all,Not at all,Intermediate,Not at all,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Risk,,,,,,,,,,,,,,,,,Time invested to real return (recoupment rate basically),,,,,,,,,,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,372,12791005038,405148313,7/2/2021 14:35,7/2/2021 14:36,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,,Not at all,,Not at all,Intermediate,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No perceived benefit,,,,,,,,,,,,,,,,,,,,,,FCAS,41-50 years old,United States,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,373,12791002060,405148313,7/2/2021 14:31,7/2/2021 14:35,NA,NA,NA,NA,NA,At least once a day,At least once a day,Not at all,Not at all,Not at all,About once a week,Not at all,At least once a day,About once a week,Advanced,Expert,Not at all,Not at all,Not at all,Basic stuff,Not at all,Basic stuff,Intermediate,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,,R,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,,Credibility,,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Insurance company,,200+,Between 15 and 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,374,12790991861,405148313,7/2/2021 13:58,7/2/2021 14:29,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,About once a month,Not at all,Not at all,Not at all,About once a week,Not at all,Not at all,Expert,Not at all,Advanced,Not at all,Not at all,Not at all,Basic stuff,Not at all,Very much so,,,Very much so,,,Unsure,,,Very much so,,,,,,,,,,,,Somewhat,,,,,,,R,,,,,,,,,,,,,,Not enough time,,,,,Lack of IT support,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,"Time series analysis, including claim trend analysis",,,,,,,FCAS,31-40 years old,Canada,,Insurance company,,26-50,Between 15 and 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,375,12790954691,405148313,7/2/2021 14:04,7/2/2021 14:08,NA,NA,NA,NA,NA,Less than once a month,At least once a day,Less than once a month,Not at all,Not at all,Less than once a month,Not at all,Less than once a month,Not at all,Not at all,Expert,Intermediate,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Somewhat,Unsure,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,R,Excel,,,,,,,,,,,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,,,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,,,,,,FCAS,51-60 years old,United States,,Reinsurance company,,5-Jan,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,376,12790937099,405148313,7/2/2021 13:57,7/2/2021 13:59,NA,NA,NA,NA,NA,About once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,,No perceived benefit,,,,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Consulting Firm,,51-200,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,377,12790915276,405148313,7/2/2021 13:46,7/2/2021 13:48,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,Very much so,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,Excel,,,,,,,,,,,,,Not enough time,,,,,,Financial cost,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Consulting Firm,,10-Jun,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,378,12790913977,405148313,7/2/2021 13:42,7/2/2021 13:47,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,About once a month,About once a week,About once a week,Not at all,About once a week,About once a month,Not at all,Expert,Not at all,Not at all,Not at all,Basic stuff,Not at all,Basic stuff,Basic stuff,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,"Actuarial/Insurance technologies like those produced by Willis Towers Watson, SSIS and Azure Data Factory.",,,,,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Consulting Firm,,51-200,Between 15 and 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,379,12790912475,405148313,7/2/2021 13:41,7/2/2021 13:46,NA,NA,NA,NA,NA,About once a week,At least once a day,About once a week,About once a week,Not at all,About once a month,Not at all,At least once a day,About once a week,Advanced,Expert,Expert,Advanced,Basic stuff,Basic stuff,Not at all,Basic stuff,Expert,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,,R,,,,Python,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,,,Lack of IT support,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,380,12790842582,405148313,7/2/2021 12:58,7/2/2021 13:10,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,About once a month,Basic stuff,Expert,Not at all,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Very much so,,,Very much so,,,Unsure,,,Unsure,,,Unsure,,,Somewhat,,,Unsure,,,Somewhat,,,Somewhat,,,Access and Powerpoint ,R,,,,,,,,,,,,,,Not enough time,,,,,,,,No perceived benefit,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Reinsurance company,,51-200,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,381,12790829821,405148313,7/2/2021 13:00,7/2/2021 13:04,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,Not at all,Not at all,Advanced,Basic stuff,Not at all,Not at all,Basic stuff,Not at all,Intermediate,Not at all,Unsure,Somewhat,,Unsure,Very much so,,,Unsure,,,Unsure,,,Somewhat,,,Very much so,,,Somewhat,,,Very much so,,,Unsure,,,,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Consulting Firm,,51-200,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,382,12790741936,405148313,7/2/2021 12:19,7/2/2021 12:24,NA,NA,NA,NA,NA,Less than once a month,About once a week,At least once a day,Not at all,Less than once a month,About once a month,Not at all,Not at all,About once a week,Not at all,Expert,Expert,Basic stuff,Not at all,Basic stuff,Not at all,Not at all,Intermediate,Very much so,Somewhat,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,,,,,Python,A data visualization tool like Tableau,,,SQL,,,,,Financial cost,Not enough time,,,,,,Financial cost,Not enough time,,,,Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Other (please specify),Technology company,5-Jan,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,383,12790708006,405148313,7/2/2021 12:05,7/2/2021 12:09,NA,NA,NA,NA,NA,Not at all,About once a week,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,Very much so,Very much so,Unsure,,,,,,,,,,,,,,,,,,,,,,,R,Excel,,,,,,,,,,,,,Not enough time,No perceived benefit,,,,,,Not enough time,No perceived benefit,,,,,,,,,,,,,,"Being retired, I focus on general problem-solving, for which Excel is generally sufficient for.",FCAS,61 or older,United States,,Retired,,,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,384,12790693165,405148313,7/2/2021 11:58,7/2/2021 12:02,NA,NA,NA,NA,NA,Less than once a month,At least once a day,Not at all,About once a week,Not at all,Not at all,Not at all,About once a month,At least once a day,Basic stuff,Expert,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Somewhat,Somewhat,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Somewhat,Somewhat,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,,,,,SAS,,,,,SQL,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,31-40 years old,United States,,Insurance company,,51-200,Between 5 and 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,385,12790686809,405148313,7/2/2021 11:56,7/2/2021 11:59,NA,NA,NA,NA,NA,Not at all,At least once a day,About once a month,Not at all,Not at all,Not at all,Not at all,Less than once a month,Not at all,Basic stuff,Expert,Intermediate,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Not at all,Unsure,Unsure,Unsure,Unsure,,R,,,,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,41-50 years old,United States,,Consulting Firm,,51-200,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,386,12790627104,405148313,7/2/2021 11:27,7/2/2021 11:34,NA,NA,NA,NA,NA,About once a week,At least once a day,Not at all,Less than once a month,About once a month,About once a week,Not at all,Less than once a month,Less than once a month,Basic stuff,Advanced,Not at all,Basic stuff,Basic stuff,Basic stuff,Not at all,Basic stuff,Basic stuff,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,,R,Excel,,SAS,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,,,,Financial cost,Not enough time,,,,,,,,,unknown,,,,,,,,,,,,,not currently working in an actuarial role; most of my current use of technology is through educational pursuits,ACAS,41-50 years old,United States,,Insurance company,,51-200,Between 5 and 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,387,12790609722,405148313,7/2/2021 11:18,7/2/2021 11:27,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,,Less than once a month,Not at all,Not at all,Less than once a month,Less than once a month,Intermediate,Advanced,Not at all,Basic stuff,Intermediate,Basic stuff,Not at all,Basic stuff,Intermediate,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,Lack of management support,Lack of IT support,,,,,Insufficient/inadequate staff,,,Financial cost,Not enough time,,,,,,,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,51-60 years old,Canada,,Government or regulatory organization,,25-Nov,Between 15 and 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
