respondent_id,actuarial_credential,age,where_are_you_located,what_type_of_company_do_you_work_for,actuaries_at_my_organization,years_of_experience,year
202100054,FCAS,"(60, Inf)",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100055,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100056,ACAS,"(30, 40]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100057,FCAS,"(50, 60]",United States,NA,NA,"[20, Inf)",2021
202100058,FCAS,"(0, 30]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100059,FCAS,"(0, 30]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100060,FCAS,"(60, Inf)",United States,NA,"(0, 5]","[20, Inf)",2021
202100061,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100062,FCAS,"(40, 50]",NA,Consulting,"(50, 200]","[15, 20)",2021
202100063,FCAS,"(40, 50]",United States,NA,NA,"[10, 15)",2021
202100064,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[10, 15)",2021
202100065,FCAS,"(0, 30]",Canada,Insurance,"(10, 25]","[5, 10)",2021
202100066,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100067,FCAS,"(30, 40]",United States,Reinsurance,"(5, 10]","[5, 10)",2021
202100068,FCAS,"(0, 30]",Canada,Insurance,"(200, Inf)","[5, 10)",2021
202100069,ACAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100070,FCAS,"(30, 40]",Canada,Insurance,"(200, Inf)","[15, 20)",2021
202100071,ACAS,"(40, 50]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100072,ACAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100073,ACAS,"(30, 40]",United States,Reinsurance,"(50, 200]","[5, 10)",2021
202100074,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[10, 15)",2021
202100075,FCAS,"(30, 40]",Other,Insurance,"(0, 5]","[10, 15)",2021
202100076,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100077,FCAS,"(40, 50]",Canada,Consulting,"(10, 25]","[10, 15)",2021
202100078,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[15, 20)",2021
202100079,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100080,FCAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100081,FCAS,"(30, 40]",United States,Consulting,"(25, 50]","[10, 15)",2021
202100082,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100083,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100084,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[10, 15)",2021
202100085,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100086,FCAS,"(50, 60]",United States,NA,"(0, 5]","[20, Inf)",2021
202100087,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100088,FCAS,"(40, 50]",United States,Insurance,"(25, 50]","[20, Inf)",2021
202100089,ACAS,"(30, 40]",Canada,Insurance,"(50, 200]","(0, 5)",2021
202100090,ACAS,"(40, 50]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100091,ACAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100092,ACAS,"(0, 30]",United States,Insurance,"(5, 10]","(0, 5)",2021
202100093,FCAS,"(50, 60]",Other,Insurance,"(0, 5]","[20, Inf)",2021
202100094,FCAS,"(30, 40]",Canada,Insurance,"(10, 25]","[10, 15)",2021
202100095,FCAS,"(50, 60]",Canada,Insurance,"(50, 200]","[20, Inf)",2021
202100096,FCAS,"(60, Inf)",United States,Reinsurance,"(10, 25]","[20, Inf)",2021
202100097,ACAS,"(60, Inf)",United States,NA,"(0, 5]","[20, Inf)",2021
202100098,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100099,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100100,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100101,FCAS,"(30, 40]",United States,Reinsurance,"(10, 25]","[10, 15)",2021
202100102,FCAS,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100103,ACAS,"(30, 40]",Canada,Insurance,"(50, 200]","[5, 10)",2021
202100104,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100105,FCAS,"(40, 50]",Other,Reinsurance,"(0, 5]","[20, Inf)",2021
202100106,FCAS,"(0, 30]",Canada,Insurance,"(10, 25]","[5, 10)",2021
202100107,ACAS,"(50, 60]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100108,ACAS,"(50, 60]",United States,Insurance,"(5, 10]","[20, Inf)",2021
202100109,FCAS,"(30, 40]",Asia,Insurance,"(5, 10]","[10, 15)",2021
202100110,FCAS,"(40, 50]",Other,Consulting,"(10, 25]","[10, 15)",2021
202100111,ACAS,"(30, 40]",Other,Insurance,"(0, 5]","[10, 15)",2021
202100112,FCAS,"(30, 40]",United States,Broker,"(25, 50]","[15, 20)",2021
202100113,FCAS,"(30, 40]",Canada,Insurance,"(50, 200]","[5, 10)",2021
202100114,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100115,ACAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100116,FCAS,"(40, 50]",United States,Reinsurance,"(10, 25]","[10, 15)",2021
202100117,FCAS,"(30, 40]",Asia,Insurance,"(0, 5]","[10, 15)",2021
202100118,FCAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100119,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100120,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100121,FCAS,"(40, 50]",United States,Reinsurance,"(25, 50]","[15, 20)",2021
202100122,FCAS,"(0, 30]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100123,FCAS,"(50, 60]",United States,Consulting,"(50, 200]","[20, Inf)",2021
202100124,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100125,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100126,ACAS,"(50, 60]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100127,FCAS,"(40, 50]",Canada,Insurance,"(25, 50]","[10, 15)",2021
202100128,ACAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100129,ACAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)",2021
202100130,FCAS,"(30, 40]",Canada,Broker,"(50, 200]","[15, 20)",2021
202100131,FCAS,"(60, Inf)",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100132,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100133,FCAS,"(50, 60]",United States,Insurance,"(25, 50]","[10, 15)",2021
202100134,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100135,FCAS,"(30, 40]",United States,Other,"(0, 5]","[15, 20)",2021
202100136,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100137,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100138,ACAS,NA,United States,Other,"(50, 200]","[15, 20)",2021
202100139,FCAS,"(30, 40]",United States,Other,"(0, 5]","[10, 15)",2021
202100140,FCAS,"(30, 40]",United States,Other,"(0, 5]","[5, 10)",2021
202100141,FCAS,"(40, 50]",United States,Insurance,"(25, 50]","[15, 20)",2021
202100142,ACAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100143,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100144,FCAS,"(50, 60]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100145,FCAS,"(40, 50]",United States,Consulting,"(25, 50]","[15, 20)",2021
202100146,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100147,FCAS,"(0, 30]",United States,Consulting,"(50, 200]","[5, 10)",2021
202100148,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100149,FCAS,"(40, 50]",Canada,Insurance,"(200, Inf)","[20, Inf)",2021
202100150,ACAS,"(60, Inf)",United States,Reinsurance,"(25, 50]","[20, Inf)",2021
202100151,FCAS,"(40, 50]",United States,Insurance,"(25, 50]","[10, 15)",2021
202100152,ACAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100153,ACAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100154,ACAS,"(30, 40]",United States,Consulting,"(50, 200]","[10, 15)",2021
202100155,FCAS,"(30, 40]",Canada,Insurance,"(25, 50]","[10, 15)",2021
202100156,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100157,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100158,FCAS,"(50, 60]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100159,FCAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100160,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100161,ACAS,"(50, 60]",United States,NA,NA,"[20, Inf)",2021
202100162,FCAS,"(50, 60]",United States,Consulting,"(25, 50]","[20, Inf)",2021
202100163,FCAS,"(0, 30]",United States,Reinsurance,"(10, 25]","[5, 10)",2021
202100164,ACAS,"(0, 30]",Asia,Insurance,"(5, 10]","(0, 5)",2021
202100165,FCAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100166,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100167,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100168,FCAS,"(40, 50]",United States,Other,"(0, 5]","[20, Inf)",2021
202100169,ACAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100170,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100171,ACAS,"(30, 40]",United States,Other,"(50, 200]","[10, 15)",2021
202100172,ACAS,"(40, 50]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100173,ACAS,"(40, 50]",United States,Reinsurance,"(5, 10]","[15, 20)",2021
202100174,ACAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100175,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100176,FCAS,"(40, 50]",United States,Insurance,"(25, 50]","[20, Inf)",2021
202100177,FCAS,"(30, 40]",United States,Other,"(0, 5]","[10, 15)",2021
202100178,ACAS,"(30, 40]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100179,FCAS,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100180,FCAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100181,ACAS,"(0, 30]",Canada,Insurance,"(50, 200]","(0, 5)",2021
202100182,FCAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100183,FCAS,"(60, Inf)",United States,NA,"(10, 25]","[20, Inf)",2021
202100184,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100185,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[10, 15)",2021
202100186,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100187,FCAS,"(30, 40]",United States,Insurance,"(25, 50]","[10, 15)",2021
202100188,FCAS,"(40, 50]",United States,Consulting,"(50, 200]","[20, Inf)",2021
202100189,ACAS,"(0, 30]",United States,Consulting,"(5, 10]","(0, 5)",2021
202100190,FCAS,"(0, 30]",United States,Insurance,"(5, 10]","[5, 10)",2021
202100191,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100192,FCAS,"(40, 50]",United States,Reinsurance,"(25, 50]","[10, 15)",2021
202100193,ACAS,"(50, 60]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100194,FCAS,"(40, 50]",United States,Insurance,"(25, 50]","[15, 20)",2021
202100195,FCAS,"(50, 60]",United States,Consulting,"(5, 10]","[20, Inf)",2021
202100196,FCAS,"(0, 30]",United States,Reinsurance,"(0, 5]","[5, 10)",2021
202100197,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100198,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100199,ACAS,"(50, 60]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100200,ACAS,"(30, 40]",Canada,Consulting,"(5, 10]","[10, 15)",2021
202100201,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100202,FCAS,"(50, 60]",United States,Insurance,"(25, 50]","[20, Inf)",2021
202100203,FCAS,NA,United States,Insurance,"(5, 10]","[10, 15)",2021
202100204,FCAS,"(30, 40]",United States,Consulting,"(5, 10]","[15, 20)",2021
202100205,FCAS,"(30, 40]",Other,Reinsurance,"(0, 5]","[15, 20)",2021
202100206,ACAS,"(40, 50]",United States,Insurance,"(5, 10]","[15, 20)",2021
202100207,FCAS,NA,United States,NA,"(0, 5]","[20, Inf)",2021
202100208,ACAS,"(50, 60]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100209,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100210,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100211,FCAS,"(50, 60]",United States,Insurance,"(25, 50]","[20, Inf)",2021
202100212,FCAS,"(60, Inf)",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100213,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100214,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100215,ACAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100216,ACAS,"(40, 50]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100217,FCAS,"(0, 30]",United States,Insurance,"(10, 25]","[5, 10)",2021
202100218,FCAS,"(30, 40]",United States,Other,"(50, 200]","[5, 10)",2021
202100219,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100220,FCAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100221,FCAS,"(40, 50]",United States,Consulting,"(50, 200]","[20, Inf)",2021
202100222,FCAS,"(50, 60]",United States,Insurance,"(25, 50]","[20, Inf)",2021
202100223,FCAS,"(60, Inf)",Other,Broker,"(200, Inf)","[20, Inf)",2021
202100224,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100225,FCAS,"(30, 40]",United States,Insurance,"(25, 50]","[10, 15)",2021
202100226,FCAS,"(40, 50]",United States,Reinsurance,"(25, 50]","[15, 20)",2021
202100227,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100228,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100229,ACAS,"(60, Inf)",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100230,FCAS,"(50, 60]",United States,Consulting,"(5, 10]","[20, Inf)",2021
202100231,ACAS,"(50, 60]",United States,Insurance,"(25, 50]","[15, 20)",2021
202100232,FCAS,"(30, 40]",Canada,Insurance,"(50, 200]","[10, 15)",2021
202100233,ACAS,"(50, 60]",United States,Broker,"(50, 200]","[20, Inf)",2021
202100234,ACAS,"(50, 60]",United States,Broker,"(50, 200]","[20, Inf)",2021
202100235,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100236,ACAS,"(30, 40]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100237,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100238,ACAS,"(30, 40]",United States,Insurance,"(25, 50]","[10, 15)",2021
202100239,FCAS,"(40, 50]",Canada,Insurance,"(10, 25]","[20, Inf)",2021
202100240,FCAS,"(30, 40]",Canada,Insurance,"(10, 25]","[5, 10)",2021
202100241,ACAS,"(40, 50]",United States,Consulting,"(5, 10]","[5, 10)",2021
202100242,ACAS,"(60, Inf)",United States,Consulting,"(50, 200]","[20, Inf)",2021
202100243,FCAS,"(40, 50]",United States,Other,"(50, 200]","[10, 15)",2021
202100244,FCAS,"(40, 50]",United States,Consulting,"(50, 200]","[15, 20)",2021
202100245,ACAS,NA,United States,Insurance,"(50, 200]","[15, 20)",2021
202100246,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100247,FCAS,"(60, Inf)",United States,Insurance,"(200, Inf)","[20, Inf)",2021
202100248,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100249,FCAS,"(50, 60]",United States,Consulting,"(10, 25]","[20, Inf)",2021
202100250,ACAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100251,ACAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100252,ACAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100253,FCAS,"(60, Inf)",United States,Reinsurance,"(25, 50]","[20, Inf)",2021
202100254,ACAS,"(50, 60]",United States,Reinsurance,"(50, 200]","[20, Inf)",2021
202100255,FCAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100256,FCAS,"(50, 60]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100257,FCAS,"(30, 40]",United States,Insurance,"(25, 50]","[10, 15)",2021
202100258,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100259,FCAS,"(40, 50]",United States,Other,"(5, 10]","[10, 15)",2021
202100260,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100261,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100262,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[15, 20)",2021
202100263,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100264,ACAS,"(0, 30]",United States,Other,"(0, 5]","(0, 5)",2021
202100265,ACAS,"(40, 50]",United States,Other,"(5, 10]","[20, Inf)",2021
202100266,ACAS,"(40, 50]",United States,Other,"(5, 10]","[20, Inf)",2021
202100267,FCAS,"(50, 60]",United States,Reinsurance,"(25, 50]","[20, Inf)",2021
202100268,FCAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100269,None,"(0, 30]",United States,Insurance,"(200, Inf)","(0, 5)",2021
202100270,ACAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100271,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)",2021
202100272,ACAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100273,ACAS,"(50, 60]",United States,Reinsurance,NA,"[20, Inf)",2021
202100274,FCAS,"(30, 40]",United States,Insurance,"(0, 5]","[15, 20)",2021
202100275,FCAS,"(60, Inf)",Canada,Insurance,"(10, 25]","[20, Inf)",2021
202100276,FCAS,"(50, 60]",United States,Insurance,"(25, 50]","[20, Inf)",2021
202100277,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100278,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100279,ACAS,"(30, 40]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100280,FCAS,"(40, 50]",Asia,Insurance,"(0, 5]","[15, 20)",2021
202100281,None,"(30, 40]",United States,Insurance,"(50, 200]","(0, 5)",2021
202100282,FCAS,"(50, 60]",United States,Consulting,"(5, 10]","[20, Inf)",2021
202100283,FCAS,"(40, 50]",United States,Insurance,"(5, 10]","[20, Inf)",2021
202100284,FCAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100285,FCAS,"(60, Inf)",United States,Reinsurance,"(10, 25]","[20, Inf)",2021
202100286,FCAS,"(40, 50]",United States,Consulting,"(50, 200]","[20, Inf)",2021
202100287,FCAS,"(50, 60]",United States,Insurance,"(5, 10]","[20, Inf)",2021
202100288,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100289,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100290,ACAS,"(0, 30]",Canada,Consulting,"(10, 25]","[5, 10)",2021
202100291,ACAS,"(0, 30]",Canada,Insurance,"(25, 50]","(0, 5)",2021
202100292,ACAS,"(50, 60]",United States,Other,"(0, 5]","[20, Inf)",2021
202100293,FCAS,"(40, 50]",Canada,Insurance,"(50, 200]","[20, Inf)",2021
202100294,FCAS,"(0, 30]",United States,Insurance,"(50, 200]","[5, 10)",2021
202100295,ACAS,"(50, 60]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100296,FCAS,"(30, 40]",United States,Other,"(50, 200]","[10, 15)",2021
202100297,ACAS,"(30, 40]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100298,FCAS,"(50, 60]",United States,Insurance,"(10, 25]","[20, Inf)",2021
202100299,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)",2021
202100300,FCAS,"(50, 60]",United States,Insurance,"(25, 50]","[20, Inf)",2021
202100301,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)",2021
202100302,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100303,FCAS,"(40, 50]",United States,Insurance,"(200, Inf)","[15, 20)",2021
202100304,FCAS,"(60, Inf)",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100305,ACAS,"(40, 50]",United States,Consulting,"(25, 50]","[15, 20)",2021
202100306,ACAS,"(40, 50]",United States,Consulting,"(25, 50]","[20, Inf)",2021
202100307,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100308,FCAS,"(50, 60]",United States,Insurance,"(5, 10]","[15, 20)",2021
202100309,ACAS,"(50, 60]",United States,Broker,"(50, 200]","[20, Inf)",2021
202100310,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100311,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100312,FCAS,"(40, 50]",Canada,Consulting,"(50, 200]","[20, Inf)",2021
202100313,FCAS,"(30, 40]",Other,Insurance,"(10, 25]","[15, 20)",2021
202100314,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100315,ACAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100316,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100317,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100318,ACAS,"(40, 50]",United States,Insurance,"(0, 5]","[15, 20)",2021
202100319,FCAS,"(30, 40]",United States,Insurance,"(0, 5]","[5, 10)",2021
